Name,State/Territory,Home Base,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Administrative Costs,Telecommunications,Family Travel Costs
Dr Jim Chalmers MP,Queensland,Logan,1656,0,9058.65,0,4681.18,31043.49,49627.21,2155.08,0
The Hon Karen Andrews MP,Queensland,Gold Coast,7314,21751.54,9900.73,0,5309.46,26901.69,20556.56,2101.33,0
Senator Nick Xenophon,South Australia,Adelaide,3457,0,6842.44,3386.36,286,30200.51,6101.17,2069.2,0
The Hon Jenny Macklin MP,Victoria,Melbourne,5176,0,15323.6,0,7835.64,30199.13,22248.19,2012.08,0
Senator Lee Rhiannon,New South Wales,Sydney,3312,0,2510.91,0,1908.63,42900.06,9356.15,1994.9,0
The Hon Dr Mike Kelly AM MP,New South Wales,Queanbeyan,1222,0,877.14,0,3784.66,42819.18,22273.01,1979.02,0
Mr Brian Mitchell MP,Tasmania,Sorell,6958,0,6003.58,0,5379.45,19061.5,30836.84,1952.24,0
The Hon Amanda Rishworth MP,South Australia,Adelaide,5368,0,10239.21,0,7485.82,17450.43,35428.44,1905.29,0
The Hon Tanya Plibersek MP,New South Wales,Sydney,4093,0,23397.98,0,11970.29,557.33,12316.26,1900.23,0
Ms Sharon Claydon MP,New South Wales,Newcastle,4140,0,1913.83,0,519.95,30433.42,20659.09,1883.73,0
The Hon Luke Hartsuyker MP,New South Wales,Coffs Harbour,6036,13233.07,8157.03,0,3302.06,25569.54,48613.88,1874.4,0
Senator the Hon Doug Cameron,New South Wales,Blaxland,7703,0,3589.98,0,9874.19,31880.22,5498.51,1870.27,0
The Hon Shayne Neumann MP,Queensland,Ipswich,6009,0,19524.31,0,8996.46,29100.11,43062,1838.08,0
Senator Pauline Hanson,Queensland,Brisbane,4404,0,532.6,0,6152.98,25058.02,12883.2,1830.93,0
The Hon Mark Dreyfus QC MP,Victoria,Melbourne,4760,0,21298.1,0,8848.27,33936.68,55905.25,1830.63,0
Senator Brian Burston,New South Wales,Coal Point,3312,0,2300.57,0,4311.19,18231.33,2205.32,1823.27,0
Senator the Hon James McGrath,Queensland,Flaxton,14948,12696.5,19169.12,0,23170.45,17513.24,12078.09,1816.3,0
Mr David Coleman MP,New South Wales,Cronulla,4968,0,937.66,0,1463.95,19049.49,45216.46,1806.45,0
The Hon Justine Elliot MP,New South Wales,Tweed Heads,4715,0,7152.21,0,8347.47,47478.23,25401.86,1802.51,0
The Hon Anthony Byrne MP,Victoria,Melbourne,4140,0,5469.01,0,4931.1,43253.66,22887.79,1795.75,0
Mr Pat Conroy MP,New South Wales,Speers Point,6571,0,4933.97,0,6939.64,30004.78,77409.72,1790.74,0
Mr Rob Mitchell MP,Victoria,Melbourne,4482,0,6519.04,0,6780.63,59026.63,38764.8,1769.05,0
The Hon Tony Abbott MP,New South Wales,Sydney,6093,0,4924.49,0,8714.47,36028.66,3941.9,1760.62,0
The Hon Alan Tudge MP,Victoria,Wantirna South,6956,0,13640.12,-1664.32,3026.09,45171.62,21312.97,1757.8,0
Ms Julie Owens MP,New South Wales,Parramatta,6348,0,0,0,924,43714.26,36026.47,1755.5,0
Senator Carol Brown,Tasmania,Hobart,4968,0,7202.3,0,4366.38,24563.82,10298.04,1749.89,0
Ms Terri Butler MP,Queensland,Brisbane,6942,0,20400.33,0,5664.92,30704.35,28232.87,1747.01,0
The Hon Catherine King MP,Victoria,Ballarat,5523,0,18004.53,0,10973.54,35071.84,2231.64,1726.59,0
The Hon Chris Bowen MP,New South Wales,Sydney,2883,0,9637.13,0,13076.79,36599.35,43329.15,1715.69,0
Mr Andrew Gee MP,New South Wales,Orange,3036,0,0,0,9209.93,39849.21,24473.5,1697.61,0
Senator the Hon Anne Ruston,South Australia,Renmark,10925,6153.97,19181.16,256.27,7802.23,12889.33,2195.34,1675.4,0
Mr Milton Dick MP,Queensland,Brisbane,4989,0,5770.26,0,8425.86,33750.38,32795.81,1673.89,0
The Hon Linda Burney MP,New South Wales,Sydney,6063,0,7834.41,0,2444.39,40771.2,30574.17,1642.58,0
Ms Lisa Chesters MP,Victoria,Bendigo,5927,0,3691.63,0,6506,22556.47,32066.5,1632.88,0
The Hon Kelly O'Dwyer MP,Victoria,Melbourne,4030,0,13152.48,0,7152.93,47694.44,31682.09,1629.53,0
The Hon Alex Hawke MP,New South Wales,Castle Hill,2760,0,0,0,2415.23,49850.09,23043.74,1620.94,0
Senator Glenn Sterle,Western Australia,Perth,8972,0,21239.09,0,3638.17,26637.24,11408.5,1603,0
Dr John McVeigh MP,Queensland,Toowoomba,3056,0,9582.16,0,2552.7,24368.9,18000.7,1596.22,0
Senator Patrick Dodson,Western Australia,Broome,6437,0,9425.42,0,11305.63,64925.7,5213,1572.83,0
Ms Maria Vamvakinou MP,Victoria,Northcote,2484,0,5150.81,0,4120.03,19465.3,17845.16,1533.59,0
The Hon Jane Prentice MP,Queensland,Brisbane,8758,0,10763.93,0,8486.54,58103.78,18722.4,1489.09,0
Ms Sarah Henderson MP,Victoria,Barwon Heads,3864,0,5174.59,0,6920.13,50005.36,55959.2,1488.16,0
Ms Anne Stanley MP,New South Wales,Sydney,5520,0,341.03,0,3792.12,26732.93,49722.17,1478.24,0
Senator Derryn Hinch,Victoria,Melbourne,4140,0,10677.67,0,5885.53,23054.84,1076.33,1443.96,0
Ms Justine Keay MP,Tasmania,Devonport,5912,0,12273.26,0,6334.31,19425.74,29659.47,1437.88,0
Mr Craig Kelly MP,New South Wales,Sydney,5074,0,0,0,849.72,25933.78,9099.39,1436.88,0
The Hon David Feeney MP,Victoria,Melbourne,4140,0,4291.38,0,4122.37,30947.29,36566.39,1428.27,0
Mr Ted O'Brien MP,Queensland,Buderim,4140,0,2311.85,0,1249.77,38281.08,46868.28,1412.33,0
Mr John Alexander OAM MP,New South Wales,Sydney,4140,0,0,0,1094.8,54624.75,43051.53,1407.4,0
The Hon Richard Marles MP,Victoria,Geelong,3256,807.6,19604.57,0,11735.44,36702.55,12741.45,1397.77,0
The Hon Jason Clare MP,New South Wales,Bankstown,4182,0,6267.61,0,6921.99,22188.84,74711.85,1388.09,0
Ms Nola Marino MP,Western Australia,Bunbury,5174,0,20409.21,0,7617.3,35212.63,25853.48,1383.42,0
Senator Sue Lines,Western Australia,Perth,5520,28538.92,9336.96,16915,3679.79,44046.75,4700.83,1377.72,0
Senator the Hon George Brandis QC,Queensland,Brisbane,10772,96189.61,22845.89,10890,11429.33,63496.6,6878.56,1353.79,0
Mr Stephen Jones MP,New South Wales,Wollongong,6822,0,8866.39,0,7688.5,32013.84,70472.05,1343.22,0
Senator the Hon Zed Seselja,Australian Capital Territory,Canberra,3022,0,13921.12,0,6071.86,66274.92,48902.33,1331.39,0
Ms Michelle Rowland MP,New South Wales,Sydney,-300,0,-1090.76,0,8156.22,29900.59,34132.36,1328.08,0
The Hon Christopher Pyne MP,South Australia,Adelaide,8922,111203.91,23984.07,0,10972.97,53539.86,9753.83,1307.14,0
Senator Bridget McKenzie,Victoria,Ballarat,8680,0,14142.47,0,7964.26,29683.55,12494.14,1299.73,0
Senator Cory Bernardi,South Australia,Adelaide,5368,1003.34,10575.71,0,6106.55,24450.69,3604.75,1297.34,0
Mrs Ann Sudmalis MP,New South Wales,Nowra,0,0,0,0,7743.96,23229.34,24543.42,1288.95,0
Ms Emma Husar MP,New South Wales,Penrith,5244,0,2384.2,0,8685.06,28882.84,35491.92,1283.23,0
Ms Joanne Ryan MP,Victoria,Werribee,3588,0,6336.35,0,5348.08,33954.33,3611.15,1262.54,0
Senator Jenny McAllister,New South Wales,Sydney,4608,22334.81,8299.35,0,5070.34,27813.2,27074.15,1244.44,0
Dr Mike Freelander MP,New South Wales,Sydney,3864,0,0,0,618.2,23013.54,45582.91,1218.18,0
Ms Emma McBride MP,New South Wales,The Entrance,2208,0,2836.96,0,2938.48,27552.93,8270.78,1215.48,0
The Hon Julie Collins MP,Tasmania,Hobart,5353,0,11931.94,0,5197.22,25557.27,41766.31,1215,0
Senator Gavin Marshall,Victoria,Melbourne,5532,0,8758.64,0,5534.03,26163.39,9236.6,1212.19,0
Mr Andrew Wilkie MP,Tasmania,Hobart,5244,0,7208.52,0,4148.62,31078.73,39916.48,1208.2,0
Mr George Christensen MP,Queensland,Mackay,6072,0,11593.64,0,9271.11,19356.23,48734.55,1207.2,0
Senator the Hon Simon Birmingham,South Australia,Adelaide,6680,0,23044.02,0,5797.76,39787.88,11801.35,1206.02,0
The Hon Mark Butler MP,South Australia,Adelaide,5168,0,15134.09,0,4710.98,17509.2,97462.28,1193.01,0
The Hon Christian Porter MP,Western Australia,Yanchep,7508,0,27505.35,0,8060.56,48805.73,80790.15,1179.46,0
Mr Jason Wood MP,Victoria,Mount Dandenong,4692,0,3007.88,0,871.64,27493.02,31292.76,1175.56,0
The Hon Matt Thistlethwaite MP,New South Wales,Sydney,4735,0,2354.52,0,5802.5,51516.57,51901.06,1160.89,0
Mr Graham Perrett MP,Queensland,Moorooka,7558,7175.81,16944.61,0,8603.18,52691.8,34152.33,1153.94,0
Senator Rachel Siewert,Western Australia,Perth,6264,0,21242.26,0,4432.06,25536.07,15623.83,1150.17,0
Ms Susan Templeman MP,New South Wales,Hazelbrook,4416,0,659.37,0,6891.99,33978.55,64131.87,1141.22,0
Senator the Hon Mitch Fifield,Victoria,Melbourne,11870,0,15058.6,0,8534.23,47177.39,3110.99,1141.18,0
The Hon Greg Hunt MP,Victoria,Mt Martha,9955,23297.08,18760.26,0,14454.3,50753.35,34090.25,1125.28,0
Senator David Bushby,Tasmania,Hobart,6912,0,10013.51,0,8169.52,26628.82,2372.09,1112.19,0
Mrs Lucy Wicks MP,New South Wales,Gosford,0,0,0,0,1203.94,32630.89,22764.46,1086.56,0
The Hon Josh Frydenberg MP,Victoria,Melbourne,6441,3837.3,23548.06,0,11402.29,63158.08,62952.52,1082.3,0
Mr Russell Broadbent MP,Victoria,Pakenham,3434,0,16994.76,0,5958.14,17487.91,40204.55,1075.4,0
Mr Tim Watts MP,Victoria,Melbourne,3864,0,6625.89,0,3528.63,22937.73,17734.73,1054.77,0
Senator Jonathon Duniam,Tasmania,Hobart,5730,0,6875.48,0,6222.43,24802.87,5366.12,1050.15,0
Ms Gai Brodtmann MP,Australian Capital Territory,Canberra,2200,0,7365.4,0,3067.49,33665.25,45840.54,1043.04,0
Senator Stirling Griff,South Australia,Adelaide,3864,0,2361.77,0,505.69,31673.92,4728.71,1037.52,0
Mr Steve Irons MP,Western Australia,Perth,5181,0,22720.85,0,504.84,31278.52,94877.55,1027.46,0
Mr Trent Zimmerman MP,New South Wales,Sydney,4692,0,1134.55,0,5487,76821.08,25684.86,1010.11,0
Senator the Hon Michaelia Cash,Western Australia,Perth,6790,24862.38,28819.2,0,5202.23,59651.9,9400.87,1009.33,0
Senator the Hon Mathias Cormann,Western Australia,Perth,9718,44094.55,32385.06,0,9329.22,69550,1441,1008.97,0
The Hon Craig Laundy MP,New South Wales,Sydney,5080,45189.79,7256.47,0,669.06,51053.12,3561.72,999.6,0
The Hon Ed Husic MP,New South Wales,Sydney,3312,0,1197.23,0,7921.1,32231.47,37747.64,986.63,0
Senator the Hon Scott Ryan,Victoria,Melbourne,6514,11630.58,17319.94,0,7646.78,48585.67,2928.09,974.51,0
Senator Jacqui Lambie,Tasmania,Burnie,7453,0,15419.95,0,5700.36,17469.06,30216.44,972.94,0
Senator Anthony Chisholm,Queensland,Brisbane,3907,0,7990.61,0,5862.45,18050.49,6760.91,968.74,0
Ms Nicolle Flint MP,South Australia,Adelaide,3588,0,4061.35,0,2801.46,23527.72,18572.75,968.71,0
Dr Anne Aly MP,Western Australia,Perth,3312,0,4723.68,0,2028.24,54235.61,52580.93,947.92,0
The Hon Scott Morrison MP,New South Wales,Sydney,5520,86937.8,8644.05,0,9373.04,124956.77,26295.92,941.89,0
Senator the Hon Fiona Nash,New South Wales,Young,3285,2570.6,10249.85,8256.54,7488.07,72619.19,3078.15,905.27,0
Senator Kimberley Kitching,Victoria,Melbourne,5242,0,20866.42,0,6737.28,17692.92,3419.95,847.41,0
Mr Andrew Giles MP,Victoria,Clifton Hill,0,0,6435.4,0,4346,29862.96,4444.87,835.65,0
Senator Nick McKim,Tasmania,Hobart,4770,0,7137.86,0,5013.63,32196.76,10633.77,831.78,0
The Hon Sharon Bird MP,New South Wales,Wollongong,3864,0,0,0,5046.82,46153.14,8188.74,802.26,0
The Hon Michael Keenan MP,Western Australia,Perth,7060,19425.95,30909.2,0,8085.94,71953.17,34634.52,764.54,0
Senator Katy Gallagher,Australian Capital Territory,Canberra,782,0,2429.39,0,154.11,21956.43,520.81,669.09,0
Senator the Hon Marise Payne,New South Wales,Sydney,2760,47835.4,2633.81,0,12161.49,92359.34,1013.61,667.33,0
The Hon Ian Macfarlane,Queensland,Toowoomba,0,0,0,0,0,0,0,662.71,0
Ms Joanna Lindgren,Queensland,Brisbane,0,0,0,0,0,0,8818.15,156.87,0
Mr Ricky Muir,Victoria,Denison,0,0,0,0,0,482.01,0,120,0
Mr John Madigan,Victoria,Ballarat,0,0,0,0,0,0,0,120,0
The Hon Stephen Conroy,Victoria,Melbourne,0,0,45.45,0,909.1,285.45,0,60,0
The Hon Kelvin Thomson,Victoria,Melbourne,0,0,0,0,0,0,-899.73,30,0
The Hon Teresa Gambaro,Queensland,Brisbane,0,0,0,0,0,1821,0,0,0
The Hon Gary Gray AO,Western Australia,Perth,0,0,0,0,0,1367.86,0,0,0
The Hon Melissa Parke,Western Australia,Fremantle,0,0,0,0,0,420.27,0,0,0
The Hon Bruce Billson,Victoria,Mornington,0,0,0,0,0,338,0,0,0
Senator Peter Georgiou,Western Australia,N/A,0,0,0,0,78.6,0,178.18,0,0
Mr Brett Whiteley,Tasmania,Squeaking Point,0,0,-1263.64,1036.08,0,0,0,0,0
Mr Eric Hutchinson,Tasmania,Launceston,516,0,0,0,0,0,0,0,0
The Hon Jamie Briggs,South Australia,Aldgate,0,0,0,0,0,0,2027.05,0,0
Mr Robert Simms,South Australia,Adelaide,0,0,0,0,0,0,-2200,0,0
Mr Zhenya Wang,Western Australia,Perth,0,0,0,0,0,0,458.19,0,0
Ms Anna Burke,Victoria,Melbourne,0,-309.96,0,0,0,0,0,0,0
The Hon Michael Ronaldson,Victoria,Lake Wendouree,0,-3754.97,0,0,0,0,0,0,0
The Hon Andrew Robb AO,Victoria,Brighton,0,-4504.17,0,0,0,0,0,0,0
The Hon Alan Griffin,Victoria,Melbourne,0,0,0,0,0,-111.7,0,0,0
Mrs Karen McNamara,New South Wales,Hamlyn Terrace,0,0,0,0,0,-192.9,0,0,0
Senator Richard Di Natale,Victoria,Deans Marsh,4740,0,11409.9,0,13682.04,57615.11,13227.88,1545.79,-1697.07
Ms Nova Peris OAM,Northern Territory,Darwin,0,0,0,0,-162.04,0,0,0,-1747.06
