Harvest Name,Organisation Name,State,Jurisdiction,Current Name,count
data.gov.au,National Library of Australia,Australia,Australian Government,National Library of Australia,4
data.nsw.gov.au,Ausgrid,New South Wales,New South Wales Government,Ausgrid (NSW),6
data.gov.au,Productivity Commission,Australia,Australian Government,Productivity Commission,4
data.sa.gov.au,Naracoorte Lucindale Council,South Australia,Local Government,Naracoorte Lucindale Council,1
data.gov.au,Australian Business Register,Australia,Australian Government,Australian Business Register,3
data.gov.au,City of Hobart,Tasmania,Local Government,City of Hobart,58
data.gov.au,City of Greater Geelong,Victoria,Local Government,City of Greater Geelong,119
Australian Oceans Data Network,"Department of Fisheries, WA",Western Australia,Western Australian Government,Department of Fisheries (WA),1
data.gov.au,Department of Immigration and Border Protection,Australia,Australian Government,Department of Immigration and Border Protection,3
data.gov.au,Department of Infrastructure and Regional Development,Australia,Australian Government,Department of Infrastructure and Regional Development,3
data.vic.gov.au,Victorian Building Authority,Victoria,Victorian Government,Victorian Building Authority,13
data.gov.au,Digital Transformation Agency,Australia,Australian Government,Digital Transformation Agency,3
data.nsw.gov.au,Australian Museum,New South Wales,New South Wales Government,Australian Museum (NSW),2
data.gov.au,City of Melbourne,Victoria,Local Government,City of Melbourne,96
data.gov.au,"Regional Australia, Local Government, Arts and Sport",Australia,Australian Government,Department of Infrastructure and Regional Development,3
data.gov.au,State Library of South Australia,South Australia,South Australian Government,State Library of South Australia,3
data.gov.au,Tasmania Fire Service,Tasmania,Tasmanian Government,Tasmania Fire Service,3
data.gov.au,City of Gold Coast,Victoria,Local Government,City of Gold Coast,92
data.nsw.gov.au,Bureau of Health Information,New South Wales,New South Wales Government,Bureau of Health Information (NSW),14
data.gov.au,Australian Electoral Commission,Australia,Australian Government,Australian Electoral Commission,2
data.gov.au,Australian Fisheries Management Authority,Australia,Australian Government,Australian Fisheries Management Authority,2
data.gov.au,CSIRO Oceans and Atmosphere - Information and Data Centre,Australia,Australian Government,Commonwealth Scientific and Industrial Research Organisation,2
data.gov.au,City of Ballarat,Victoria,Local Government,City of Ballarat,63
data.gov.au,Department of Education (Tasmania),Tasmania,Tasmanian Government,Department of Education,2
data.wa.gov.au,Department of Health,Western Australia,Western Australian Government,Department of Health (WA),1
data.vic.gov.au,Victorian Electoral Commission,Victoria,Victorian Government,Victorian Electoral Commission,102
data.gov.au,Southern Grampians Shire Council,Victoria,Local Government,Southern Grampians Shire Council,29
data.gov.au,Golden Plains Shire Council,Victoria,Local Government,Golden Plains Shire Council,26
data.gov.au,Northern Grampians Shire Council,Victoria,Local Government,Northern Grampians Shire Council,19
data.nsw.gov.au,Department of Education,New South Wales,New South Wales Government,NSW Department of Education (NSW),61
data.gov.au,National Archives of Australia,Australia,Australian Government,National Archives of Australia,2
data.gov.au,Office of the Australian Information Commissioner,Australia,Australian Government,Office of the Australian Information Commissioner,2
data.gov.au,City of Greater Dandenong,Victoria,Local Government,City of Greater Dandenong,12
data.gov.au,Tasmanian Museum and Art Gallery,Tasmania,Tasmanian Government,Tasmanian Museum and Art Gallery,2
data.vic.gov.au,Victorian Public Sector Commission,Victoria,Victorian Government,Victorian Public Sector Commission,2
data.gov.au,Australia Council for the Arts,Australia,Australian Government,Australia Council for the Arts,1
data.gov.au,Australian Customs and Border Protection Service,Australia,Australian Government,Australian Customs and Border Protection Service,1
data.gov.au,Australian Federal Police,Australia,Australian Government,Australian Federal Police,1
data.gov.au,Australian Government Department of the Environment and Energy,Australia,Australian Government,Department of the Environment and Energy,1
data.gov.au,Australian National Data Service,Australia,Academic,Australian National Data Service,1
data.gov.au,Australian Pesticides and Veterinary Medicines Authority,Australia,Australian Government,Australian Pesticides and Veterinary Medicines Authority,1
data.gov.au,Surf Coast Shire Council,Victoria,Local Government,Surf Coast Shire Council,12
data.gov.au,Department of Health (Western Australia),Western Australia,Western Australian Government,Department of Health (WA),3
data.gov.au,Department of Health and Human Services (Tasmania),Tasmania,Tasmanian Government,Department of Health and Human Services,1
data.gov.au,Department of Premier and Cabinet (Tasmania),Tasmania,Tasmanian Government,Department of Premier and Cabinet,1
data.vic.gov.au,Victorian State Budget,Victoria,Victorian Government,Victorian State Budget,51
data.gov.au,Food Standards Australia New Zealand (FSANZ),Australia,Australian Government,Food Standards Australia New Zealand,1
data.gov.au,Cardinia Shire Council,Victoria,Local Government,Cardinia Shire Council,9
data.gov.au,Nillumbik Shire Council,Victoria,Local Government,Nillumbik Shire Council,9
data.gov.au,Wyndham City Council,Victoria,Local Government,Wyndham City Council,8
data.gov.au,"Ministerial Council for Education, Early Childhood Development and Youth Affairs",Australia,Australian Government,"Ministerial Council for Education, Early Childhood Development and Youth Affairs",1
data.nsw.gov.au,"Department of Finance, Services and Innovation",New South Wales,New South Wales Government,"NSW Department of Finance, Services and Innovation (NSW)",77
data.nsw.gov.au,Department of Industry,New South Wales,New South Wales Government,"NSW Department of Industry, Skills and Regional Development (NSW)",8
data.nsw.gov.au,Department of Planning and Environment,New South Wales,New South Wales Government,NSW Department of Planning and Environment (NSW),23
data.gov.au,National Portrait Gallery,Australia,Australian Government,National Portrait Gallery,1
data.gov.au,Department of Housing (Western Australia),Western Australia,Western Australian Government,Department of Housing (WA),2
data.gov.au,Tertiary Education Quality and Standards Agency (TEQSA),Australia,Australian Government,Tertiary Education Quality and Standards Agency ,1
data.gov.au,The Treasury,Australia,Australian Government,The Treasury,1
data.wa.gov.au,Department of Local Government and Communities,Western Australia,Western Australian Government,Department of Local Government and Communities (WA),1
data.gov.au,Workplace Gender Equality Agency (WGEA),Australia,Australian Government,Workplace Gender Equality Agency,1
data.nsw.gov.au,Destination NSW,New South Wales,New South Wales Government,Destination NSW (NSW),3
data.nsw.gov.au,DPI - Water,New South Wales,New South Wales Government,Department of Primary Industries (NSW),7
data.nsw.gov.au,Essential Energy,New South Wales,New South Wales Government,Essential Energy (NSW),1
data.nsw.gov.au,Fair Trading,New South Wales,New South Wales Government,NSW Fair Trading (NSW),13
data.nsw.gov.au,Family and Community Services,New South Wales,New South Wales Government,Department of Family and Community Services (NSW),11
data.gov.au,Fire & Rescue NSW,New South Wales,New South Wales Government,Fire & Rescue NSW (NSW),3
data.nsw.gov.au,Fire & Rescue NSW,New South Wales,New South Wales Government,Fire & Rescue NSW (NSW),2
NSW Land and Property,Sinclair Knight Merz,Other,Other,Sinclair Knight Merz,1
CSIRO Marlin,CSIRO,Australia,Australian Government,Commonwealth Scientific and Industrial Research Organisation,3529
Australian Oceans Data Network,"Department of Environment and Heritage Protection, Queensland Government",Queensland,Queensland Government,Department of Environment and Heritage Protection (Qld),2
data.qld.gov.au,Environment and Heritage Protection,Queensland,Queensland Government,Department of Environment and Heritage Protection (Qld),185
data.qld.gov.au,Housing and Public Works,Queensland,Queensland Government,Department of Housing and Public Works (Qld),59
data.qld.gov.au,"Infrastructure, Local Government and Planning",Queensland,Queensland Government,"Department of Infrastructure, Local Government and Planning (Qld)",74
data.qld.gov.au,Justice and Attorney-General,Queensland,Queensland Government,Department of Justice and Attorney-General (Qld),149
data.qld.gov.au,"National Parks, Sport and Racing",Queensland,Queensland Government,"Department of National Parks, Sport and Racing (Qld)",80
Geoscience Australia,Department of Natural Resources and Mines Queensland,Queensland,Queensland Government,Department of Natural Resources and Mines (Qld),1
Australian Oceans Data Network,"Department of Natural Resources and Mines, Queensland Government",Queensland,Queensland Government,Department of Natural Resources and Mines (Qld),1
data.qld.gov.au,Natural Resources and Mines,Queensland,Queensland Government,Department of Natural Resources and Mines (Qld),211
data.qld.gov.au,Premier and Cabinet,Queensland,Queensland Government,Department of the Premier and Cabinet (Qld),101
data.qld.gov.au,"Science, Information Technology and Innovation",Queensland,Queensland Government,"Department of Science, Information Technology and Innovation (Qld)",282
data.qld.gov.au,State Development,Queensland,Queensland Government,Department of State Development (Qld),23
data.qld.gov.au,"Tourism, Major Events, Small Business and the Commonwealth Games",Queensland,Queensland Government,"Department of Tourism, Major Events, Small Business and the Commonwealth Games (Qld)",29
data.qld.gov.au,Transport and Main Roads,Queensland,Queensland Government,Department of Transport and Main Roads (Qld),244
data.qld.gov.au,Public Safety Business Agency,Queensland,Queensland Government,Public Safety Business Agency (Qld),17
data.qld.gov.au,Queensland Fire and Emergency Services,Queensland,Queensland Government,Queensland Fire and Emergency Services (Qld),29
data.qld.gov.au,Queensland Health,Queensland,Queensland Government,Queensland Health (Qld),153
data.qld.gov.au,Police,Queensland,Queensland Government,Queensland Police (Qld),32
data.qld.gov.au,Treasury,Queensland,Queensland Government,Queensland Treasury (Qld),185
data.gov.au,State Library of Queensland,Queensland,Queensland Government,State Library of Queensland (Qld),21
data.qld.gov.au,Aboriginal and Torres Strait Islander Partnerships,Queensland,Queensland Government,Department of Aboriginal and Torres Strait Islander Partnerships (Qld),30
Australian Institute of Marine Science,Australian Institute of Marine Science,Australia,Australian Government,Australian Institute of Marine Science,1447
Australian Institute of Marine Science,Australian Institute of Marine Science (AIMS),Australia,Australian Government,Australian Institute of Marine Science,679
Australian Oceans Data Network,"Centre for Marine Futures, The University of Western Australia (UWA)",Western Australia,Academic,University of Western Australia,1
Australian Institute of Marine Science,"Australian Government Department of Sustainability, Environment, Water, Population and Communities",Australia,Australian Government,Department of the Environment and Energy,1
Australian Institute of Marine Science,Bureau of Meteorology,Australia,Australian Government,Bureau of Meteorology,1
Australian Oceans Data Network,Marine Futures / UWA,Western Australia,Academic,University of Western Australia,1
Australian Institute of Marine Science,Geoscience Australia,Australia,Australian Government,Geoscience Australia,1
Australian Institute of Marine Science,Hydrographic Service RAN - Australian Hydrographic Office,Australia,Australian Government,Australian Hydrographic Office,1
Australian Institute of Marine Science,National Tidal Centre,Australia,Australian Government,Bureau of Meteorology,1
data.wa.gov.au,Department of Mines and Petroleum,Western Australia,Western Australian Government,Department of Mines and Petroleum (WA),20
Australian Institute of Marine Science,Torres Strait Regional Authority,Australia,Australian Government,Torres Strait Regional Authority,1
data.sa.gov.au,Dept of the Premier and Cabinet,South Australia,South Australian Government,Department of the Premier and Cabinet,282
data.sa.gov.au,"Dept of Environment, Water and Natural Resources",South Australia,South Australian Government,"Department of Environment, Water and Natural Resources",174
data.sa.gov.au,Dept for Communities and Social Inclusion,South Australia,South Australian Government,Department for Communities and Social Inclusion,96
data.sa.gov.au,Attorney-General's Dept,South Australia,South Australian Government,Attorney-General's Department,84
data.gov.au,City of Casey,Victoria,Local Government,City of Casey,8
data.sa.gov.au,Department of State Development,South Australia,South Australian Government,Department of State Development,73
data.sa.gov.au,"Department of Planning, Transport and Infrastructure",South Australia,South Australian Government,"Department of Planning, Transport and Infrastructure",68
data.gov.au,Corangamite Shire Council,Victoria,Local Government,Corangamite Shire Council,8
data.sa.gov.au,State Library of South Australia,South Australia,South Australian Government,State Library of South Australia,32
data.sa.gov.au,Environment Protection Authority (EPA),South Australia,South Australian Government,Environment Protection Authority,29
data.sa.gov.au,Dept for Health and Ageing,South Australia,South Australian Government,Department for Health and Ageing,24
data.gov.au,Wimmera CMA,Victoria,Local Government,Wimmera CMA,7
data.sa.gov.au,Dept for Education and Child Development,South Australia,South Australian Government,Department for Education and Child Development,20
data.sa.gov.au,Unleashed 2014 Industry and Community Data,South Australia,South Australian Government,Unleashed 2014 Industry and Community Data,20
data.sa.gov.au,ABS (SA Data),South Australia,Australian Government,Australian Bureau of Statistics,19
data.sa.gov.au,Renewal SA,South Australia,South Australian Government,Renewal SA,16
data.sa.gov.au,Dept of Primary Industries and Regions,South Australia,South Australian Government,Department of Primary Industries and Regions,10
data.sa.gov.au,South Australian Museum,South Australia,South Australian Government,South Australian Museum,10
data.gov.au,Yarriambiack Shire Council,Victoria,Local Government,Yarriambiack Shire Council,7
data.gov.au,Macedon Ranges Shire Council,Victoria,Local Government,Macedon Ranges Shire Council,6
data.gov.au,Colac Otway Shire,Victoria,Local Government,Colac Otway Shire,5
data.gov.au,Horsham Rural City Council,Victoria,Local Government,Horsham Rural City Council,5
data.sa.gov.au,Department of Treasury and Finance,South Australia,South Australian Government,Department of Treasury and Finance,5
data.sa.gov.au,History SA,South Australia,South Australian Government,History Trust of South Australia,5
data.sa.gov.au,SA Country Fire Service,South Australia,South Australian Government,South Australia Country Fire Service,5
data.sa.gov.au,State Records,South Australia,South Australian Government,State Records of South Australia,5
data.sa.gov.au,TAFE SA,South Australia,South Australian Government,TAFE SA,5
data.gov.au,Alpine Shire Council,Victoria,Local Government,Alpine Shire Council,4
data.gov.au,West Wimmera Shire Council,Victoria,Local Government,West Wimmera Shire Council,4
data.sa.gov.au,South Australian Metropolitan Fire Service,South Australia,South Australian Government,South Australian Metropolitan Fire Service,3
data.gov.au,City of Whittlesea,Victoria,Local Government,City of Whittlesea,3
data.sa.gov.au,Zero Waste SA,South Australia,South Australian Government,Zero Waste SA,2
data.sa.gov.au,Courts Administration Authority,South Australia,South Australian Government,Courts Administration Authority,1
data.gov.au,Greater Shepparton City Council,Victoria,Local Government,Greater Shepparton City Council,3
data.sa.gov.au,Motor Accident Commission,South Australia,South Australian Government,Motor Accident Commission,1
data.gov.au,Yarra Ranges Council,Victoria,Local Government,Yarra Ranges Council,3
data.sa.gov.au,SA Tourism Commission,South Australia,South Australian Government,South Australian Tourism Commission,1
data.sa.gov.au,South Australia Police,South Australia,South Australian Government,South Australia Police,1
Geoscience Australia,Government of Western Australia (Department of Mines and Petroleum),Western Australia,Western Australian Government,Department of Mines and Petroleum (WA),3
data.wa.gov.au,Australian Bureau of Statistics,Western Australia,Australian Government,Australian Bureau of Statistics,191
data.wa.gov.au,Department of Parks and Wildlife,Western Australia,Western Australian Government,Department of Parks and Wildlife (WA),27
data.wa.gov.au,Department of Planning,Western Australia,Western Australian Government,Department of Planning (WA),21
data.gov.au,Central Goldfields Shire Council,Victoria,Local Government,Central Goldfields Shire Council,2
data.wa.gov.au,Department of Regional Development,Western Australia,Western Australian Government,Department of Regional Development (WA),12
data.gov.au,Department of the Attorney General (Western Australia),Western Australia,Western Australian Government,Department of the Attorney General (WA),5
Australian Oceans Data Network,Department of Transport,Western Australia,Western Australian Government,Department of Transport (WA),3
data.wa.gov.au,Department of Transport,Western Australia,Western Australian Government,Department of Transport (WA),23
data.wa.gov.au,Department of Treasury,Western Australia,Western Australian Government,Department of Treasury (WA),3
data.wa.gov.au,Department of Water,Western Australia,Western Australian Government,Department of Water (WA),47
data.wa.gov.au,Environmental Protection Authority,Western Australia,Western Australian Government,Environmental Protection Authority (WA),8
data.wa.gov.au,Forest Products Commission,Western Australia,Western Australian Government,Forest Products Commission (WA),1
data.wa.gov.au,Housing Authority,Western Australia,Western Australian Government,Housing Authority (WA),5
data.wa.gov.au,Landgate,Western Australia,Western Australian Government,Landgate (WA),194
data.wa.gov.au,Main Roads Western Australia,Western Australia,Western Australian Government,Main Roads Western Australia (WA),28
data.wa.gov.au,Metropolitan Redevelopment Authority,Western Australia,Western Australian Government,Metropolitan Redevelopment Authority (WA),1
data.gov.au,Public Sector Commission (Western Australia),Western Australia,Western Australian Government,Public Sector Commission (WA),13
data.gov.au,Glenelg Shire Council,Victoria,Local Government,Glenelg Shire Council,2
data.wa.gov.au,Public Transport Authority,Western Australia,Western Australian Government,Public Transport Authority (WA),4
data.gov.au,School Curriculum and Standards Authority (Western Australia),Western Australia,Western Australian Government,School Curriculum and Standards Authority (WA),1
data.wa.gov.au,State Heritage Office,Western Australia,Western Australian Government,State Heritage Office (WA),6
data.gov.au,State Library of Western Australia,Western Australia,Western Australian Government,State Library of Western Australia (WA),13
data.wa.gov.au,World Wildlife Fund for Nature,Other,Other,World Wildlife Fund for Nature,4
data.wa.gov.au,State Library of Western Australia,Western Australia,Western Australian Government,State Library of Western Australia (WA),13
data.wa.gov.au,State Records Office of Western Australia,Western Australia,Western Australian Government,State Records Office of Western Australia (WA),38
Australian Oceans Data Network,"School of Earth and Environment (SEE), The University of Western Australia (UWA)",Western Australia,Academic,University of Western Australia,1
data.wa.gov.au,CSIRO,Western Australia,Australian Government,Commonwealth Scientific and Industrial Research Organisation,2
data.gov.au,Hobsons Bay City Council,Victoria,Local Government,Hobsons Bay City Council,2
Australian Oceans Data Network,Water Corporation,Western Australia,Western Australian Government,Water Corporation (WA),1
data.wa.gov.au,Harvey Water,Other,Other,Harvey Water,2
data.gov.au,Water Corporation,Western Australia,Western Australian Government,Water Corporation (WA),1
data.gov.au,Manningham City Council,Victoria,Local Government,Manningham City Council,2
data.wa.gov.au,Water Corporation,Western Australia,Western Australian Government,Water Corporation (WA),14
data.wa.gov.au,Western Australian Electoral Commission,Western Australia,Western Australian Government,Western Australian Electoral Commission (WA),1
data.wa.gov.au,WA State Government,Western Australia,Western Australian Government,Landgate (WA),1
data.wa.gov.au,Western Australian Museum,Western Australia,Western Australian Government,Western Australian Museum (WA),2
data.wa.gov.au,National Native Title Tribunal,Western Australia,Australian Government,National Native Title Tribunal,1
data.gov.au,Swan Hill Rural City Council,Victoria,Local Government,Swan Hill Rural City Council,2
Australian Oceans Data Network,Western Australian Museum (WAM),Western Australia,Western Australian Government,Western Australian Museum (WA),2
data.wa.gov.au,Western Power,Western Australia,Western Australian Government,Western Power,27
data.nsw.gov.au,Geographical Names Board of NSW,New South Wales,New South Wales Government,Geographical Names Board of NSW,1
data.nsw.gov.au,Housing NSW,New South Wales,New South Wales Government,Housing NSW (NSW),1
data.nsw.gov.au,Information and Privacy Commission,New South Wales,New South Wales Government,Information and Privacy Commission NSW (NSW),3
data.nsw.gov.au,Juvenile Justice,New South Wales,New South Wales Government,Juvenile Justice NSW (NSW),5
NSW Land and Property,Land and Property Information,New South Wales,New South Wales Government,Land and Property Information,3
NSW Land and Property,Land and Property Information-NSW,New South Wales,New South Wales Government,Land and Property Information,2
data.nsw.gov.au,Legal Aid NSW,New South Wales,New South Wales Government,Legal Aid NSW (NSW),1
data.gov.au,NSW Rural Fire Service,New South Wales,New South Wales Government,NSW Rural Fire Service (NSW),2
data.gov.au,NSW Bureau of Crime Statistics and Research,New South Wales,New South Wales Government,NSW Bureau of Crime Statistics and Research,1
data.nsw.gov.au,NSW Bureau of Crime Statistics and Research,New South Wales,New South Wales Government,NSW Bureau of Crime Statistics and Research,16
data.nsw.gov.au,NSW Electoral Commission,New South Wales,New South Wales Government,NSW Electoral Commission NSW (NSW),7
data.nsw.gov.au,NSW Food Authority,New South Wales,New South Wales Government,NSW Food Authority (NSW),2
data.gov.au,City of Boroondara,Victoria,Local Government,City of Boroondara,1
data.gov.au,NSW Health,New South Wales,New South Wales Government,NSW Ministry of Health (NSW),1
data.nsw.gov.au,NSW Health,New South Wales,New South Wales Government,NSW Ministry of Health (NSW),7
NSW Land and Property,NSW Land and Property,New South Wales,New South Wales Government,NSW Land and Property,3587
data.nsw.gov.au,NSW Rural Fire Service,New South Wales,New South Wales Government,NSW Rural Fire Service (NSW),4
data.nsw.gov.au,NSW State Emergency Service,New South Wales,New South Wales Government,State Emergency Service (SES) NSW (NSW),1
Australian Oceans Data Network,"Division of Fisheries, NSW Agriculture & Fisheries, New South Wales Goverment",New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),1
NSW Land and Property,"NSW Department of Environment, Climate Change and Water (DECCW)",New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),1
NSW Land and Property,NSW Office of Environment and Heritage (OEH),New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),2
NSW Land and Property,Office of Environment and Heritage,New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),1
data.nsw.gov.au,Office of Environment and Heritage,New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),20
NSW Land and Property,Office of Environment and Heritage (OEH),New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),5
data.gov.au,Frankston City Council,Victoria,Local Government,Frankston City Council,1
Australian Oceans Data Network,"Office of Environment and Heritage (OEH), New South Wales Government",New South Wales,New South Wales Government,Office of Environment and Heritage (NSW),5
data.nsw.gov.au,Office of State Revenue,New South Wales,New South Wales Government,Office of State Revenue (NSW),17
data.gov.au,Parliament of NSW,New South Wales,New South Wales Government,Parliament of NSW,4
data.nsw.gov.au,Parliament of NSW,New South Wales,New South Wales Government,Parliament of NSW,7
data.nsw.gov.au,Tourism Research Australia,New South Wales,Australian Government,Tourism Research Australia,4
data.nsw.gov.au,Australian Bureau of Statistics,New South Wales,Australian Government,Australian Bureau of Statistics,3
data.nsw.gov.au,Powerhouse Museum,New South Wales,New South Wales Government,Museum of Applied Arts and Sciences (Powerhouse Museum) (NSW),4
data.gov.au,NSW Premier's Council for Active Living,New South Wales,New South Wales Government,Museum of Applied Arts and Sciences (Powerhouse Museum) (NSW),1
data.nsw.gov.au,Property NSW,New South Wales,New South Wales Government,Government Property NSW (NSW),2
data.nsw.gov.au,Public Service Commission,New South Wales,New South Wales Government,Public Service Commission (NSW),1
data.nsw.gov.au,Public Works,New South Wales,New South Wales Government,NSW Public Works (NSW),8
data.nsw.gov.au,"Registry of Births, Deaths and Marriages",New South Wales,New South Wales Government,"NSW Registry of Births, Deaths and Marriages (NSW)",4
data.nsw.gov.au,Roads and Maritime Services,New South Wales,New South Wales Government,Roads and Maritime Services (NSW),30
data.nsw.gov.au,Australian Sports Commission,New South Wales,Australian Government,Australian Sports Commission,1
data.gov.au,State Library of New South Wales,New South Wales,New South Wales Government,State Library of NSW (NSW),11
data.nsw.gov.au,State Library of NSW,New South Wales,New South Wales Government,State Library of NSW (NSW),6
data.nsw.gov.au,State Records Authority,New South Wales,New South Wales Government,State Records Authority (NSW),8
data.nsw.gov.au,Sydney Water,New South Wales,New South Wales Government,Sydney Water Corporation (NSW),2
data.nsw.gov.au,Taronga Zoo,New South Wales,New South Wales Government,"Taronga Zoo, Sydney (NSW)",1
data.nsw.gov.au,TCorp,New South Wales,New South Wales Government,NSW Treasury Corporation (TCorp) (NSW),1
data.nsw.gov.au,The Royal Botanic Gardens and Domain Trust,New South Wales,New South Wales Government,The Royal Botanic Gardens and Domain Trust (NSW),1
data.nsw.gov.au,The Treasury,New South Wales,New South Wales Government,The Treasury (NSW),1
data.nsw.gov.au,Transport for NSW,New South Wales,New South Wales Government,NSW Department of Transport,52
data.nsw.gov.au,Women NSW,New South Wales,New South Wales Government,Women NSW (NSW),6
data.nsw.gov.au,WorkCover NSW,New South Wales,New South Wales Government,Safework NSW (NSW),1
Tasmania TheList,Tasmania TheList,Tasmania,Tasmanian Government,Tasmania TheList,265
Australian Bureau of Metereology,Australian Bureau of Metereology,Australia,Australian Government,Bureau of Meteorology,121
Mineral Resources Tasmania,Mineral Resources Tasmania,Tasmania,Tasmanian Government,Mineral Resources Tasmania,109
data.gov.au,Loddon Shire Council,Victoria,Local Government,Loddon Shire Council,1
data.wa.gov.au,City of Perth,Western Australia,Local Government,City of Perth,38
data.wa.gov.au,City of Joondalup,Western Australia,Local Government,City of Joondalup,6
data.wa.gov.au,City of Wanneroo,Western Australia,Local Government,City of Wanneroo,2
data.wa.gov.au,City of Swan,Western Australia,Local Government,City of Swan,1
data.wa.gov.au,Northern Agricultural Catchments Council,Western Australia,Local Government,Northern Agricultural Catchments Council,1
Terrestrial Ecosystem Research Network,Terrestrial Ecosystem Research Network,Australia,Academic,Terrestrial Ecosystem Research Network,30
